epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
54,676.83,0.60705,0.50448,1.04342,0.92343,0.86884,0.93537,0.77049,0.91004,0.59271,1.37849,0.000594125,0.000594125,0.000594125
55,688.286,0.63603,0.52871,1.06434,0.92191,0.88431,0.94057,0.7778,0.88398,0.62289,1.40093,0.00058175,0.00058175,0.00058175
56,699.839,0.60612,0.50092,1.03947,0.95455,0.85012,0.94127,0.78481,0.84571,0.53391,1.3822,0.000569375,0.000569375,0.000569375
57,711.396,0.60696,0.49172,1.04676,0.94261,0.88732,0.95141,0.78482,0.84097,0.51027,1.32232,0.000557,0.000557,0.000557
58,722.876,0.61543,0.50359,1.04966,0.93883,0.89579,0.95238,0.79899,0.78407,0.51641,1.28415,0.000544625,0.000544625,0.000544625
59,774.276,0.62095,0.5003,1.04947,0.94088,0.85911,0.94107,0.78796,0.84586,0.53725,1.29588,0.00053225,0.00053225,0.00053225
60,785.679,0.59176,0.47919,1.03524,0.93021,0.89029,0.94508,0.78367,0.9063,0.70471,1.44202,0.000519875,0.000519875,0.000519875
61,796.992,0.59101,0.49168,1.04287,0.93722,0.90147,0.9509,0.79187,0.89185,0.51588,1.35942,0.0005075,0.0005075,0.0005075
62,808.393,0.59854,0.48873,1.03822,0.93949,0.84625,0.94205,0.79563,0.88188,0.498,1.33044,0.000495125,0.000495125,0.000495125
63,819.81,0.59138,0.48608,1.03915,0.9347,0.85156,0.93712,0.78107,0.92333,0.54041,1.37829,0.00048275,0.00048275,0.00048275
64,831.267,0.58864,0.48409,1.02978,0.91173,0.89777,0.94893,0.78664,0.92504,0.51992,1.38098,0.000470375,0.000470375,0.000470375
65,842.694,0.58806,0.46393,1.03151,0.9483,0.87554,0.95087,0.78783,0.92197,0.49375,1.38767,0.000458,0.000458,0.000458
66,854.236,0.58073,0.45651,1.02893,0.95876,0.88823,0.95373,0.80944,0.8226,0.49402,1.28976,0.000445625,0.000445625,0.000445625
67,865.696,0.5697,0.46411,1.02824,0.94586,0.88366,0.95052,0.8018,0.84291,0.52598,1.31203,0.00043325,0.00043325,0.00043325
68,877.301,0.56702,0.45622,1.01833,0.94382,0.89619,0.9526,0.80038,0.83467,0.51856,1.25083,0.000420875,0.000420875,0.000420875
69,888.939,0.59021,0.46087,1.03069,0.92614,0.90104,0.94933,0.79677,0.90419,0.49357,1.41012,0.0004085,0.0004085,0.0004085
70,900.436,0.5756,0.45387,1.01841,0.92619,0.90842,0.94674,0.80821,0.82722,0.51256,1.26398,0.000396125,0.000396125,0.000396125
71,911.865,0.58164,0.44917,1.02376,0.97155,0.84946,0.95199,0.80099,0.85322,0.55164,1.33225,0.00038375,0.00038375,0.00038375
72,923.419,0.57667,0.45053,1.02851,0.93712,0.90412,0.94974,0.79512,0.83024,0.50795,1.32556,0.000371375,0.000371375,0.000371375
73,934.914,0.56676,0.44756,1.00883,0.92816,0.89518,0.94981,0.80377,0.81693,0.50859,1.31254,0.000359,0.000359,0.000359
74,946.536,0.55818,0.43197,1.01352,0.93948,0.90309,0.95215,0.80489,0.80865,0.48017,1.288,0.000346625,0.000346625,0.000346625
75,958.037,0.55791,0.43583,1.02214,0.96913,0.87151,0.95219,0.80912,0.81708,0.48563,1.30874,0.00033425,0.00033425,0.00033425
76,969.563,0.54424,0.43331,1.01097,0.9607,0.88069,0.94984,0.80701,0.79872,0.49116,1.37391,0.000321875,0.000321875,0.000321875
77,981.102,0.54551,0.42845,1.00781,0.96444,0.88214,0.95332,0.80968,0.80051,0.46397,1.3314,0.0003095,0.0003095,0.0003095
78,992.683,0.54283,0.42421,1.00254,0.92377,0.88752,0.94364,0.79792,0.87493,0.53003,1.39327,0.000297125,0.000297125,0.000297125
79,1004.18,0.53723,0.417,0.99999,0.92596,0.9011,0.94667,0.79769,0.86455,0.49438,1.37424,0.00028475,0.00028475,0.00028475
80,1015.62,0.53554,0.4173,1.00546,0.9335,0.9026,0.95443,0.80755,0.87925,0.50981,1.3478,0.000272375,0.000272375,0.000272375
81,1027.1,0.52568,0.40181,1.00187,0.93468,0.91033,0.95095,0.80902,0.79815,0.44601,1.25943,0.00026,0.00026,0.00026
82,1038.7,0.54284,0.41603,1.00569,0.92852,0.91735,0.95846,0.80572,0.86015,0.46121,1.32681,0.000247625,0.000247625,0.000247625
83,1050.23,0.53526,0.41311,1.00119,0.94255,0.89807,0.95474,0.80584,0.83773,0.45896,1.29934,0.00023525,0.00023525,0.00023525
84,1061.74,0.52882,0.41074,0.99877,0.95441,0.90141,0.95571,0.81281,0.83576,0.45712,1.25982,0.000222875,0.000222875,0.000222875
85,1073.3,0.53276,0.40033,1.00082,0.95455,0.89999,0.94982,0.81657,0.8579,0.47176,1.38317,0.0002105,0.0002105,0.0002105
86,1084.92,0.52362,0.39597,0.99291,0.96775,0.8894,0.95241,0.8155,0.84368,0.493,1.37832,0.000198125,0.000198125,0.000198125
87,1096.55,0.51195,0.39592,0.99732,0.96133,0.901,0.95002,0.81238,0.80819,0.46402,1.34123,0.00018575,0.00018575,0.00018575
88,1108.06,0.51068,0.39564,0.99293,0.9447,0.8982,0.95047,0.80833,0.80322,0.45758,1.33484,0.000173375,0.000173375,0.000173375
89,1119.56,0.51624,0.40043,0.9911,0.96542,0.89202,0.95364,0.80872,0.79462,0.44849,1.3025,0.000161,0.000161,0.000161
90,1131.11,0.51346,0.39174,0.98764,0.94502,0.9099,0.96235,0.81443,0.81476,0.47357,1.30556,0.000148625,0.000148625,0.000148625
91,1143.42,0.42836,0.32304,0.91414,0.94554,0.90367,0.94529,0.79859,0.87632,0.4855,1.36979,0.00013625,0.00013625,0.00013625
92,1155.02,0.40874,0.27789,0.90278,0.95504,0.90418,0.94933,0.805,0.84624,0.45216,1.33959,0.000123875,0.000123875,0.000123875
93,1166.46,0.40419,0.27183,0.89959,0.96217,0.89992,0.95236,0.80914,0.83789,0.4667,1.32913,0.0001115,0.0001115,0.0001115
94,1177.81,0.38885,0.25836,0.89232,0.95014,0.90237,0.95212,0.81182,0.81436,0.47306,1.32025,9.9125e-05,9.9125e-05,9.9125e-05
95,1189.26,0.38645,0.26007,0.88364,0.95682,0.90747,0.95221,0.81296,0.83549,0.45216,1.35085,8.675e-05,8.675e-05,8.675e-05
96,1200.66,0.38405,0.25558,0.88786,0.95567,0.90051,0.95073,0.81241,0.82462,0.44592,1.33941,7.4375e-05,7.4375e-05,7.4375e-05
97,1212.15,0.38683,0.25652,0.88769,0.95266,0.91622,0.95612,0.81686,0.80305,0.43749,1.30586,6.2e-05,6.2e-05,6.2e-05
98,1223.75,0.37395,0.24971,0.88822,0.95737,0.9134,0.95804,0.82233,0.78476,0.43691,1.28424,4.9625e-05,4.9625e-05,4.9625e-05
99,1235.24,0.3739,0.24765,0.88214,0.95915,0.9205,0.95663,0.81503,0.80253,0.43991,1.30715,3.725e-05,3.725e-05,3.725e-05
100,1246.67,0.36881,0.24457,0.87843,0.95847,0.92097,0.95927,0.81682,0.80882,0.45193,1.31058,2.4875e-05,2.4875e-05,2.4875e-05
