epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
62,4686.12,0.41639,1.05635,0.38156,nan,0.89814,0.29388,0.17165,nan,nan,nan,0.000495125,0.000495125,0.000495125
63,4761.28,0.40025,1.06205,0.37404,nan,0.89814,0.29388,0.17165,nan,nan,nan,0.00048275,0.00048275,0.00048275
64,4836.35,0.402,1.06609,0.36654,nan,0.89814,0.29388,0.17165,nan,nan,nan,0.000470375,0.000470375,0.000470375
65,4911.48,0.40106,1.02842,0.36698,nan,0.89814,0.29388,0.17165,nan,nan,nan,0.000458,0.000458,0.000458
66,4986.6,0.40689,1.04218,0.37761,nan,0.89814,0.29388,0.17165,nan,nan,nan,0.000445625,0.000445625,0.000445625
67,5061.72,0.39458,1.03875,0.37591,nan,0.89814,0.29388,0.17165,nan,nan,nan,0.00043325,0.00043325,0.00043325
68,5136.78,0.39727,1.0278,0.36622,nan,0.89814,0.29388,0.17165,nan,nan,nan,0.000420875,0.000420875,0.000420875
69,5211.99,0.40625,1.00356,0.36544,nan,0.89814,0.29388,0.17165,nan,nan,nan,0.0004085,0.0004085,0.0004085
70,5287.08,0.40456,0.98054,0.36799,nan,0.89814,0.29388,0.17165,nan,nan,nan,0.000396125,0.000396125,0.000396125
71,5362.33,0.39421,0.99004,0.35525,nan,0.89814,0.29388,0.17165,nan,nan,nan,0.00038375,0.00038375,0.00038375
72,5437.41,0.3971,0.99342,0.36286,nan,0.89814,0.29388,0.17165,nan,nan,nan,0.000371375,0.000371375,0.000371375
73,5512.5,0.39698,0.97913,0.35836,nan,0.89814,0.29388,0.17165,nan,nan,nan,0.000359,0.000359,0.000359
74,5587.48,0.38275,0.98562,0.36029,nan,0.89814,0.29388,0.17165,nan,nan,nan,0.000346625,0.000346625,0.000346625
75,5662.55,0.37945,0.98617,0.34711,nan,0.89814,0.29388,0.17165,nan,nan,nan,0.00033425,0.00033425,0.00033425
76,5737.54,0.37969,0.98842,0.34928,nan,0.89814,0.29388,0.17165,nan,nan,nan,0.000321875,0.000321875,0.000321875
77,5812.59,0.3897,0.95819,0.36274,nan,0.89814,0.29388,0.17165,nan,nan,nan,0.0003095,0.0003095,0.0003095
78,5887.66,0.37795,0.98145,0.34946,nan,0.89814,0.29388,0.17165,nan,nan,nan,0.000297125,0.000297125,0.000297125
79,5962.75,0.37906,0.95166,0.34571,nan,0.89814,0.29388,0.17165,nan,nan,nan,0.00028475,0.00028475,0.00028475
80,6037.92,0.38785,0.93794,0.36089,nan,0.89814,0.29388,0.17165,nan,nan,nan,0.000272375,0.000272375,0.000272375
81,6112.81,0.37476,0.94031,0.35579,nan,0.89814,0.29388,0.17165,nan,nan,nan,0.00026,0.00026,0.00026
82,6188.01,0.37171,0.96116,0.34026,nan,0.89814,0.29388,0.17165,nan,nan,nan,0.000247625,0.000247625,0.000247625
83,6262.86,0.38551,0.93499,0.34303,nan,0.89814,0.29388,0.17165,nan,nan,nan,0.00023525,0.00023525,0.00023525
84,6337.98,0.36383,0.94987,0.34243,nan,0.89814,0.29388,0.17165,nan,nan,nan,0.000222875,0.000222875,0.000222875
85,6412.81,0.36943,0.91531,0.34215,nan,0.89814,0.29388,0.17165,nan,nan,nan,0.0002105,0.0002105,0.0002105
86,6487.87,0.36636,0.90675,0.34357,nan,0.89814,0.29388,0.17165,nan,nan,nan,0.000198125,0.000198125,0.000198125
87,6562.83,0.35525,0.92618,0.34301,nan,0.89814,0.29388,0.17165,nan,nan,nan,0.00018575,0.00018575,0.00018575
88,6637.9,0.35369,0.94508,0.33351,nan,0.89814,0.29388,0.17165,nan,nan,nan,0.000173375,0.000173375,0.000173375
89,6712.84,0.35926,0.91891,0.33915,nan,0.89814,0.29388,0.17165,nan,nan,nan,0.000161,0.000161,0.000161
90,6787.78,0.36684,0.90632,0.33804,nan,0.89814,0.29388,0.17165,nan,nan,nan,0.000148625,0.000148625,0.000148625
91,6863.72,0.30302,0.82435,0.34888,nan,0.89814,0.29388,0.17165,nan,nan,nan,0.00013625,0.00013625,0.00013625
92,6938.61,0.3068,0.7941,0.36496,nan,0.89814,0.29388,0.17165,nan,nan,nan,0.000123875,0.000123875,0.000123875
93,7697.86,0.30382,0.78362,0.35877,nan,0.89814,0.29388,0.17165,nan,nan,nan,0.0001115,0.0001115,0.0001115
94,7771.08,0.29659,0.77515,0.35825,nan,0.89814,0.29388,0.17165,nan,nan,nan,9.9125e-05,9.9125e-05,9.9125e-05
95,7845.09,0.28416,0.76665,0.33597,nan,0.89814,0.29388,0.17165,nan,nan,nan,8.675e-05,8.675e-05,8.675e-05
96,7919.63,0.30724,0.74304,0.36722,nan,0.89814,0.29388,0.17165,nan,nan,nan,7.4375e-05,7.4375e-05,7.4375e-05
97,7994.44,0.29753,0.75879,0.35022,nan,0.89814,0.29388,0.17165,nan,nan,nan,6.2e-05,6.2e-05,6.2e-05
98,8069.46,0.29061,0.74091,0.35017,nan,0.89814,0.29388,0.17165,nan,nan,nan,4.9625e-05,4.9625e-05,4.9625e-05
99,8144.04,0.29325,0.70754,0.35026,nan,0.89814,0.29388,0.17165,nan,nan,nan,3.725e-05,3.725e-05,3.725e-05
100,8219.12,0.29246,0.71199,0.34823,nan,0.89814,0.29388,0.17165,nan,nan,nan,2.4875e-05,2.4875e-05,2.4875e-05
